#,Full Name,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,Team
0,Jada Hunter,G,5-10,Jr.,"Vallejo, CA","Laney College",https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Jada_Hunter.png?width=80&quality=90,smc
2,Amy Kurkowski,G,6-1,So.,"Melbourne, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Amy_Kurkowski.png?width=80&quality=90,smc
3,Mauriana Hashemian-Orr,G,5-7,So.,"Portland, OR",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/17/MHO.jpg?width=80&quality=90,smc
4,Charlece Ohiaeri,G,6-1,Jr.,"Las Vegas, NV","Depaul",https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Charlece_Ohiaeri_Summer_Headshot.png?width=80&quality=90,smc
5,Abigail Shoff,F,6-0,Jr.,"Redding, CA","Long Beach State",https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Abigail_Shoff.png?width=80&quality=90,smc
7,Edie Clarke,F,6-4,So.,"Melbourne, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Edie_Clarke.png?width=80&quality=90,smc
8,Emily Foy,G,6-1,Jr.,"Newcastle, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Emily_Foy.png?width=80&quality=90,smc
10,Georgia Grigoropoulou,F,6-3,Sr.,"Athens, Greece","Santa Clara",https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Georgia_Grigoropoulou_Summer_Headshot.png?width=80&quality=90,smc
11,Coco Urlacher,G,5-10,Fr.,"Palatine, IL",,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Coco_Urlacher_Summer_Headshot.png?width=80&quality=90,smc
13,Malia Latu,G,5-8,Gr.,"East Palo Alto, CA","Santa Clara",https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Malia_Latu_Summer_Headshot.png?width=80&quality=90,smc
22,Melesungu Afeaki,F,6-2,Sr.,"San Bruno, CA","University of San Diego",https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Melesungu_Afeaki.png?width=80&quality=90,smc
23,Addi Wedin,G,5-10,R-Jr.,"Happy Valley, OR",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/17/AW.jpg?width=80&quality=90,smc
24,Colleena Bryant,G,5-7,Fr.,"Detroit, MI",,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Colleena_Bryant_Summer_Headshot.png?width=80&quality=90,smc
33,Ella Wedin,G,6-1,R-So.,"Happy Valley, OR","LMU",https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Ella_Wedin.png?width=80&quality=90,smc
