#,Full Name,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,Team
2,Aniya Hooker,G,5-8,So.,"Lynnwood, WA",,https://santaclarabroncos.com/images/2025/9/18/hooker_aniyaDJR13246.JPG?width=80&quality=90,santa clara
3,Kate Schat,G,5-9,Fr.,"Redwood Valley, CA",,https://santaclarabroncos.com/images/2025/9/18/schat_katieDJR13224.JPG?width=80&quality=90,santa clara
4,Maddy Warberg,G,5-11,Fr.,"Eugene, OR",,https://santaclarabroncos.com/images/2025/9/18/warberg_maddyDJR13195.JPG?width=80&quality=90,santa clara
5,Sara Schmerbach,G,5-11,Fr.,"South Medford, OR",,https://santaclarabroncos.com/images/2025/9/18/schimerbach_saraDJR13228.JPG?width=80&quality=90,santa clara
6,Sienna Grieger,G,5-9,Fr.,"West Adelaide, Australia",,https://santaclarabroncos.com/images/2025/9/18/grieger_siennaDJR13186.JPG?width=80&quality=90,santa clara
9,Maia Jones,G,5-10,R-Jr.,"Tasman, New Zealand",,https://santaclarabroncos.com/images/2025/9/18/jones_maiaDJR13254.JPG?width=80&quality=90,santa clara
10,Lauren Grover,F,6-1,Sr.,"Corona, CA",,https://santaclarabroncos.com/images/2025/9/18/grover_laurenDJR13261.JPG?width=80&quality=90,santa clara
11,Alana Goodchild,F,6-2,Sr.,"Sydney, Australia",,https://santaclarabroncos.com/images/2025/9/18/goodchild_alannaDJR13217.JPG?width=80&quality=90,santa clara
12,Sophie Glancey,F,6-2,Gr.,"Boise, ID",,https://santaclarabroncos.com/images/2025/9/18/glancey_sophieDJR13209_dcKrR.JPG?width=80&quality=90,santa clara
13,Ava Schmidt,F,6-2,Jr.,"Sammamish, WA",,https://santaclarabroncos.com/images/2025/9/18/schmidt_avaDJR13235.JPG?width=80&quality=90,santa clara
20,Delainey Miller,G,5-10,Fr.,"Aurora, CO",,https://santaclarabroncos.com/images/2025/9/18/miller_delaneyDJR13189.JPG?width=80&quality=90,santa clara
23,Ashley Hawkins,G,5-6,Gr.,"Long Beach, CA",,https://santaclarabroncos.com/images/2025/9/18/hawkins_ashleyDJR13268.JPG?width=80&quality=90,santa clara
24,Reilly Clark,G,5-10,R-So.,"Tucson, AZ",,https://santaclarabroncos.com/images/2025/9/18/clark_reillyDJR13192.JPG?width=80&quality=90,santa clara
30,Kylee Fox,F,5-11,Jr.,"Richland, WA",,https://santaclarabroncos.com/images/2025/9/18/fox_kyleeDJR13231_lFMvf.JPG?width=80&quality=90,santa clara
34,Tyler Gildersleeve-Stiles,F,6-1,Fr.,"Snohomish, WA",,https://images.sidearmdev.com/resize?url=https%3a%2f%2fdbukjj6eu5tsf.cloudfront.net%2fsidearm.sites%2fsantaclara.sidearmsports.com%2fimages%2f2025%2f9%2f18%2fgildersleevestiles_tylerDJR13266_mSdFb.JPG&width=80&type=webp&quality=90,santa clara
