#,Full Name,Pos.,Ht.,Previous School,Hometown / High School,Academic Year,Twitter,Instagram,ImageURL,Team
1,Malvina Haziri,G,5-9,,"Vushtrria, Kosovo / KBF Prishtina",Fr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Haziri__Malvina.png?width=80&quality=90,wsu
2,Eleonora Villa,G,5-8,Costa Masnaga,"Lissone, Italy / ",Jr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Villa__Eleonora.png?width=80&quality=90,wsu
5,Jean Chiu,G,5-7,University of Taipei,"Taipei, Taiwan / New Taipei Municipal Tamsui Vocational HS",Sr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chiu__Jean.png?width=80&quality=90,wsu
6,Tahara Magassa,F,6-4,,"Paris, France / Saint-Amand Hainut",Fr., , ,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/wsu.sidearmsports.com/images/responsive_2020/logo_main.svg,wsu
8,Mackenzie Chatfield,G,5-9,Western Kentucky,"Auckland, New Zealand / Westlake Girls High School",Jr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chatfield__Mackenzie.png?width=80&quality=90,wsu
9,Tanja Valancic,F,6-0,,"Ljubljana, Slovenia / Akson Ilirija",Fr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Valancic__Tanja.png?width=80&quality=90,wsu                                
10,Charlotte Abraham,G,6-0,,"Cambrai, France / Lycée Marguerite de Flandre",So., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Abraham__Charlotte.png?width=80&quality=90,wsu
12,Marta Alsina,G,5-11,,"Barcelona, Spain / Institut Joaquim Blume",So., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Alsina__Marta.png?width=80&quality=90,wsu
15,Keandra Koorits,G/F,6-2,,"Tallinn, Estonia / Audentes Sports Gymnasium",R-Fr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Koorits__Keandra.png?width=80&quality=90,wsu
25,Lauren Glazier,F,6-4,,"North Bend, Wash. / Mount Si HS",Sr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Glazier__Lauren.png?width=80&quality=90,wsu
33,Alex Covill,C,6-6,,"Missoula, Mont. / Missoula Hellgate HS",Jr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Covill__Alex.png?width=80&quality=90,wsu
55,Malia Ruud,F,6-2,,"Pasco, Wash. / Chiawana HS",Fr., , ,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Ruud__Malia.png?width=80&quality=90,wsu
