fullName,jerseyNum,height,position,classYr,teamMarketTo,conferenceShortNameTo,teamMarketFrom,conferenceShortNameFrom,mins,ptsScored,ast,reb,stl,blk,ptsScoredPg,astPg,rebPg,stlPg,blkPg
O'Mariyah Tucker,10.0,71.0,G,Senior,,,Alabama St.,SWAC,439.67,115.0,12.0,89.0,15.0,11.0,4.25926,0.44444,3.2963,0.55556,0.40741
Kimora Fagan,,,,,,,A&M-Corpus Christi,Southland,,,,,,,,,,,
Claudia Diez,15.0,75.0,F,Sophomore,,,A&M-Corpus Christi,Southland,7.09,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Justina Graham,11.0,71.0,F,Senior,,,Alabama St.,SWAC,409.99,105.0,4.0,77.0,11.0,4.0,5.25,0.2,3.85,0.55,0.2
Sharmayne Finley,20.0,70.0,G,Senior,,,Alcorn,SWAC,325.76,157.0,23.0,36.0,13.0,2.0,6.54167,0.95833,1.5,0.54167,0.08333
Isis Beh,33.0,75.0,F,Senior,,,Arizona,Big 12,865.78,260.0,58.0,137.0,42.0,11.0,8.3871,1.87097,4.41935,1.35484,0.35484
Nadiyah Byard,7.0,72.0,F,Junior,,,Ark.-Pine Bluff,SWAC,402.65,53.0,13.0,81.0,16.0,4.0,2.03846,0.5,3.11538,0.61538,0.15385
Mariam Traore,15.0,76.0,F,Junior,,,Ark.-Pine Bluff,SWAC,102.56,14.0,0.0,17.0,1.0,1.0,0.77778,0.0,0.94444,0.05556,0.05556
Janiyah Tucker,0.0,66.0,G,Freshman,,,Ark.-Pine Bluff,SWAC,94.87,64.0,5.0,16.0,9.0,1.0,16.0,1.25,4.0,2.25,0.25
Ashley Rojas,21.0,69.0,G,Junior,,,Ark.-Pine Bluff,SWAC,261.83,61.0,4.0,37.0,3.0,2.0,3.21053,0.21053,1.94737,0.15789,0.10526
Natalie Huff,,,,,,,A&M-Corpus Christi,Southland,,,,,,,,,,,
Maya Ellis,21.0,68.0,G,Junior,,,A&M-Corpus Christi,Southland,212.72,50.0,14.0,17.0,11.0,3.0,2.77778,0.77778,0.94444,0.61111,0.16667
Karianna Woods,3.0,68.0,G,Junior,,,Bethune-Cookman,SWAC,208.15,32.0,18.0,15.0,10.0,1.0,3.55556,2.0,1.66667,1.11111,0.11111
Jenny Ntambwe,34.0,71.0,F,Junior,,,Austin Peay,ASUN,16.52,1.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Genevieve Coleman,44.0,72.0,F,Senior,,,Binghamton,AmEast,16.2,0.0,1.0,3.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0
Samantha Baker,12.0,72.0,G,Freshman,,,Binghamton,AmEast,15.93,3.0,0.0,2.0,1.0,0.0,0.42857,0.0,0.28571,0.14286,0.0
Andrea Daley,21.0,72.0,G,Senior,,,Boston College,ACC,753.73,285.0,62.0,194.0,36.0,6.0,8.63636,1.87879,5.87879,1.09091,0.18182
Taylor Wallace,5.0,66.0,G,Freshman,,,Bowling Green,MAC,16.26,3.0,0.0,0.0,0.0,0.0,0.42857,0.0,0.0,0.0,0.0
Natalie Jasper,4.0,65.0,G,Senior,,,Boston U.,Patriot,35.01,3.0,2.0,2.0,2.0,0.0,0.27273,0.18182,0.18182,0.18182,0.0
Lanae Riley,34.0,74.0,F,Junior,,,Akron,MAC,68.27,22.0,0.0,13.0,2.0,1.0,3.66667,0.0,2.16667,0.33333,0.16667
Solangelei Akridge,5.0,68.0,G,Sophomore,,,Alabama St.,SWAC,60.79,15.0,3.0,2.0,1.0,0.0,7.5,1.5,1.0,0.5,0.0
